Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume;Bid_Ask_Spread;Capitalizacion_Mercado
25/08/2021;489.607.890.625;4.920.287.890.625;4.716.361.328.125;477.272.578.125;32646349931;;1598391052632252.5;2.039.265.625;1598391052632252.5
26/08/2021;4.694.221.875;4.934.758.203.125;4.640.578.125;49.002.640.625;32666549568;-0.0421022974523753;1533440315628774.0;294.180.078.125;1533440315628774.0
27/08/2021;4.905.866.796.875;4.911.278.515.625;4.639.428.125;468.945.546.875;34511076995;0.04409943030226678;1693067467541671.5;271.850.390.625;1693067467541671.5
28/08/2021;4.890.240.234.375;4.928.350.390.625;4.849.923.828.125;490.725.859.375;28568103401;-0.0031903644385737097;1397048886713554.8;784.265.625;1397048886713554.8
29/08/2021;4.882.983.203.125;4.964.411.328.125;4.792.585.546.875;48911.25;25889650240;-0.0014850847584068098;1264187272567011.2;17.182.578.125;1264187272567011.2
30/08/2021;47.054.984.375;4.892.560.546.875;469.502.734.375;488.348.515.625;31847007016;-0.03702463994727715;1498560417528395.5;197.533.203.125;1498560417528395.5
31/08/2021;471.666.875;4.818.955.078.125;4.675.009.375;4.702.433.984.375;34730363427;0.002371071858731938;1638116198522738.0;143.945.703.125;1638116198522738.0
1/09/2021;4.884.702.734.375;4.911.108.984.375;465.624.375;470.997.734.375;39139399125;0.03500565378801719;1911843299276819.8;254.865.234.375;1911843299276819.8
2/09/2021;4.932.772.265.625;50.343.421.875;486.523.203.125;4.880.784.765.625;39508070319;0.00979272478817146;1948843135379254.5;16.911.015.625;1948843135379254.5
3/09/2021;50.025.375;509.822.734.375;483.860.859.375;49288.25;43206179619;0.014044128006187486;2161405337757832.0;25.961.875;2161405337757832.0
4/09/2021;49.944.625;5.054.558.203.125;4.954.878.125;5.000.932.421.875;37471327794;-0.0016154849967335088;1871491414923407.2;99.680.078.125;1871491414923407.2
5/09/2021;5.175.341.015.625;518.686.796.875;4.953.859.765.625;49.937.859.375;30322676319;0.035575435016673145;1569301904572416.0;233.008.203.125;1569301904572416.0
6/09/2021;5.263.353.515.625;5.270.094.140.625;510.536.796.875;5.176.900.390.625;38884105426;0.0168631403802205;2046607929958702.5;164.726.171.875;2046607929958702.5
7/09/2021;4.681.112.890.625;52.853.765.625;4.328.520.703.125;5.266.048.046.875;65210059683;-0.11723249529729855;3052556509805169.0;956.855.859.375;3052556509805169.0
8/09/2021;46.091.390.625;473.340.546.875;4.456.139.453.125;4.682.776.171.875;49007762488;-0.015494793572991005;2258835924491630.0;277.266.015.625;2258835924491630.0
9/09/2021;46.391.421.875;4.726.194.921.875;4.566.973.828.125;457.747.421.875;38672657013;0.006488390533953229;1794079546517260.2;15.922.109.375;1794079546517260.2
10/09/2021;4.488.391.015.625;470.317.421.875;44.344.484.375;463.966.640.625;39154666597;-0.03303518664446581;1757414537737671.0;26.872.578.125;1757414537737671.0
11/09/2021;4.520.145.703.125;4.596.929.296.875;44.818.265.625;4.486.983.984.375;34499835245;0.0070499394103558715;1559442820412071.8;115.102.734.375;1559442820412071.8
12/09/2021;4.606.326.953.125;4.636.487.890.625;447.904.609.375;4.520.662.890.625;27881980161;0.01888655452823882;1284335167221108.2;157.441.796.875;1284335167221108.2
13/09/2021;4.496.307.421.875;465.986.796.875;435.913.203.125;4.605.721.484.375;40969943253;-0.024174296052118335;1842134599222614.8;3.007.359.375;1842134599222614.8
14/09/2021;470.924.921.875;47.218.125;4.475.233.203.125;4.496.005.078.125;38652152880;0.046272006777909304;1820226207531455.5;246.579.296.875;1820226207531455.5
15/09/2021;4.817.634.765.625;4.845.046.875;46.773.328.125;47098.0;30484496466;0.022754601314508963;1468631699871740.5;1.677.140.625;1468631699871740.5
16/09/2021;47.783.359.375;48.486.828.125;4.707.955.859.375;4.815.890.625;31764293754;-0.0081907394359386;1517804663740449.8;140.726.953.125;1517804663740449.8
17/09/2021;4.726.751.953.125;48.160.921.875;468.325.234.375;4.777.100.390.625;28727713711;-0.010854079709278335;1357887768922851.0;13.283.984.375;1357887768922851.0
18/09/2021;4.827.836.328.125;4.879.178.125;4.708.728.515.625;4.727.352.734.375;28575630451;0.02116012615402399;1379584667904127.8;170.449.609.375;1379584667904127.8
