Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume
25/08/2021;534.364.013.671.875;5.354.990.234.375;52.884.599.609.375;529.639.990.234.375;221100;;11.814.788.342.285.100
26/08/2021;5309.25;53.824.599.609.375;529.985.986.328.125;534.441.015.625;217200;-0.006456511940792253;1153169100.0
27/08/2021;5.326.919.921.875;5.380.830.078.125;5.278.169.921.875;531.639.990.234.375;233800;0.0033226129820709905;1.245.433.877.734.370
30/08/2021;5314.75;537.227.001.953.125;52.999.599.609.375;530.456.005.859.375;204500;-0.0022872213233078834;1086866375.0
31/08/2021;53.476.201.171.875;5.368.759.765.625;530.739.990.234.375;5.336.240.234.375;345400;0.006165650030268225;18.470.679.884.765.600
1/09/2021;540.252.001.953.125;541.664.013.671.875;534.558.984.375;536.031.005.859.375;230800;0.01021389096777953;12.469.016.205.078.100
2/09/2021;545.981.982.421.875;545.983.984.375;540.668.017.578.125;5.423.080.078.125;209800;0.010550274987909763;11.454.701.991.210.900
3/09/2021;544.931.982.421.875;545.410.986.328.125;540.677.001.953.125;543.981.982.421.875;216300;-0.0019249919940109146;11.786.878.779.785.100
7/09/2021;543.477.978.515.625;54.567.099.609.375;5388.5;542.833.984.375;344500;-0.0026717961492146295;18.722.816.359.863.200
8/09/2021;5.377.330.078.125;543.318.017.578.125;534.456.005.859.375;542.231.982.421.875;358900;-0.01062701885630188;19.299.237.650.390.600
9/09/2021;539.402.001.953.125;543.952.001.953.125;537.427.001.953.125;53.817.998.046.875;290600;0.003098953169615219;15.675.022.176.757.800
10/09/2021;536.618.017.578.125;542.327.978.515.625;535.731.005.859.375;541.627.001.953.125;547500;-0.005174607417318315;29.379.836.462.402.300
13/09/2021;530.102.001.953.125;539.197.021.484.375;528.291.015.625;539.197.021.484.375;307800;-0.01221707018173444;16.316.539.620.117.100
14/09/2021;52.827.099.609.375;536.381.982.421.875;52.730.400.390.625;531.606.005.859.375;280400;-0.0034600423281220495;1.481.271.873.046.870
15/09/2021;5333.0;53.502.998.046.875;5.291.259.765.625;529.664.990.234.375;270300;0.00947471539056019;1441509900.0
16/09/2021;535.997.021.484.375;536.893.994.140.625;529.081.005.859.375;53.213.701.171.875;210400;0.005044486516669441;1.127.737.733.203.120
17/09/2021;53.916.298.828.125;539.466.015.625;529.452.978.515.625;53.584.599.609.375;566700;0.005889311207279075;30.554.366.545.898.400
20/09/2021;527.343.017.578.125;5.354.990.234.375;52.341.298.828.125;52.972.900.390.625;329500;-0.022166691279354507;17.375.952.429.199.200
21/09/2021;532.652.978.515.625;536.018.994.140.625;529.006.005.859.375;5.300.740.234.375;218700;0.010018915871816397;11.649.120.640.136.700
22/09/2021;5.319.490.234.375;53.516.201.171.875;528.447.998.046.875;532.931.982.421.875;210800;-0.001322475778613181;112.134.854.140.625
23/09/2021;5394.75;540.564.990.234.375;53.310.400.390.625;533.122.998.046.875;213500;0.014048780277175842;1151779125.0
24/09/2021;5293.5;5.369.259.765.625;5293.5;5.354.740.234.375;193100;-0.018946605632140838;1022174850.0
