Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume
25/08/2021;449.618.994.140.625;45.017.099.609.375;448.566.015.625;44.904.501.953.125;3444700000;;15488025491162.11
26/08/2021;4470.0;449.589.990.234.375;4.468.990.234.375;4493.75;3263980000;-0.0058419498276026565;14589990600000.0
27/08/2021;45.093.701.171.875;4.513.330.078.125;447.410.009.765.625;447.410.009.765.625;3331200000;0.008769071540452218;15021613734375.0
30/08/2021;45.287.900.390.625;453.735.986.328.125;4.513.759.765.625;4.513.759.765.625;3168660000;0.0042973241068746;14.350.195.845.175.700
31/08/2021;452.268.017.578.125;453.139.013.671.875;45.157.998.046.875;4529.75;4290710000;-0.0013500269158932096;19.405.509.057.026.300
1/09/2021;452.408.984.375;453.710.986.328.125;452.202.001.953.125;45.287.998.046.875;4057340000;0.00031164006095334113;18.355.770.686.640.600
2/09/2021;45.369.501.953.125;454.585.009.765.625;452.466.015.625;453.447.998.046.875;3735990000;0.002838605754404257;16.950.000.560.185.500
3/09/2021;453.543.017.578.125;45.414.501.953.125;45.212.998.046.875;4.532.419.921.875;3217530000;-0.0003350872611813474;14.592.882.653.481.400
7/09/2021;452.002.978.515.625;45.353.798.828.125;4513.0;45.353.798.828.125;3822960000;-0.0034013524523203464;17.279.893.067.460.900
8/09/2021;451.406.982.421.875;45.217.900.390.625;44.939.501.953.125;451.808.984.375;3750880000;-0.001319436813816666;16.931.734.222.265.600
9/09/2021;449.327.978.515.625;452.989.990.234.375;449.206.982.421.875;451.302.001.953.125;3735390000;-0.004616247150002522;16.784.152.376.674.800
10/09/2021;4.458.580.078.125;452.047.021.484.375;445.766.015.625;4.506.919.921.875;3623180000;-0.0077525522862761;16.154.238.167.460.900
13/09/2021;446.872.998.046.875;4.492.990.234.375;44.457.001.953.125;447.481.005.859.375;3914220000;0.002273900346369644;17491592264150.39
14/09/2021;44.430.498.046.875;448.568.017.578.125;44.354.599.609.375;4.479.330.078.125;3670460000;-0.005763213966258604;16.308.036.586.113.200
15/09/2021;44.807.001.953.125;44.868.701.171.875;44.383.701.171.875;4.447.490.234.375;4032020000;0.008438294222079725;18.066.272.801.503.900
16/09/2021;4473.75;44.858.701.171.875;44.437.998.046.875;447.708.984.375;3984560000;-0.0015523447127638308;17825925300000.0
17/09/2021;4.432.990.234.375;447.152.001.953.125;4.427.759.765.625;4.469.740.234.375;7289530000;-0.0091526302757993;32.314.415.303.183.500
20/09/2021;435.772.998.046.875;44.029.501.953.125;430.591.015.625;44.029.501.953.125;4898070000;-0.017123077726381844;21344466485434.57
21/09/2021;435.418.994.140.625;43.948.701.171.875;43.479.599.609.375;43.744.501.953.125;3920920000;-0.0008126886585469564;17.072.430.425.058.500
22/09/2021;439.564.013.671.875;4416.75;436.743.017.578.125;436.743.017.578.125;3939170000;0.009474585224220084;17.315.173.757.358.300
23/09/2021;444.897.998.046.875;446.539.990.234.375;4406.75;4406.75;3916350000;0.012061680369935969;17423762746508.79
24/09/2021;445.547.998.046.875;44.631.201.171.875;443.027.001.953.125;44.380.400.390.625;3384290000;0.0014599428113642636;15.078.636.343.100.500
27/09/2021;444.310.986.328.125;44.572.998.046.875;443.618.994.140.625;44.421.201.171.875;4058650000;-0.002780243920187674;18.033.027.846.606.400
28/09/2021;43.526.298.828.125;44.195.400.390.625;4.346.330.078.125;44.195.400.390.625;4416550000;-0.020574317739894057;19.223.607.508.935.500
29/09/2021;43.594.599.609.375;438.556.982.421.875;4.355.080.078.125;436.241.015.625;3712660000;0.0015679543362838073;16.185.192.618.574.200
30/09/2021;43.075.400.390.625;43.825.498.046.875;4.306.240.234.375;4.370.669.921.875;4448140000;-0.011981202945014901;19160541149355.47
1/10/2021;43.570.400.390.625;437.518.994.140.625;428.852.001.953.125;431.716.015.625;4010370000;0.011425952113334161;17.473.342.661.455.000
4/10/2021;43.004.599.609.375;4.355.509.765.625;427.893.994.140.625;434.883.984.375;4307870000;-0.013070952048643704;18525822451923.83
5/10/2021;434.572.021.484.375;436.922.998.046.875;43.098.701.171.875;43.098.701.171.875;3902890000;0.010469517498601526;16.960.867.969.311.500
6/10/2021;43.635.498.046.875;436.556.982.421.875;4.290.490.234.375;431.956.982.421.875;4009630000;0.004094399349624824;17496220203369.14
7/10/2021;4.399.759.765.625;442.997.021.484.375;438.372.998.046.875;438.372.998.046.875;3843740000;0.008264039225065405;16.911.532.601.523.400
8/10/2021;439.133.984.375;441.202.001.953.125;438.622.021.484.375;4.406.509.765.625;3280160000;-0.0019155566024214522;14404297301875.0
11/10/2021;436.118.994.140.625;44.158.798.828.125;436.058.984.375;438.543.994.140.625;3281970000;-0.006889441644339833;14313294551997.07
12/10/2021;435.064.990.234.375;437.489.013.671.875;434.208.984.375;436.831.005.859.375;3558450000;-0.0024197056865549256;15.481.570.144.995.100
13/10/2021;43.637.998.046.875;43.728.701.171.875;4.329.919.921.875;4.358.009.765.625;3620070000;0.0030179558702319183;15.797.260.758.955.000
14/10/2021;4.438.259.765.625;443.972.998.046.875;4386.75;4386.75;3598280000;0.016919162285711567;15.970.101.349.453.100
15/10/2021;44.713.701.171.875;447.581.982.421.875;444.768.994.140.625;444.768.994.140.625;3819380000;0.007432520637190081;17.077.861.598.183.500
18/10/2021;44.864.599.609.375;4488.75;444.747.021.484.375;446.372.021.484.375;3662010000;0.0033690878018038262;16.429.461.241.552.700
19/10/2021;45.196.298.828.125;452.039.990.234.375;449.641.015.625;449.733.984.375;3459130000;0.007366142784235753;15.633.987.316.533.200
20/10/2021;453.618.994.140.625;45.408.701.171.875;452.439.990.234.375;4.524.419.921.875;3670760000;0.003657333598560689;16.651.264.589.316.400
21/10/2021;454.977.978.515.625;455.143.994.140.625;452.689.013.671.875;4.532.240.234.375;3822330000;0.002991393168360022;17390759766196.29
22/10/2021;454.489.990.234.375;4.559.669.921.875;4524.0;45.461.201.171.875;3758220000;-0.0010731292246643565;17.080.733.710.986.300
