Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume
25/08/2021;1.283.446.807.861.320;12.907.006.841.364.700;12.565.178.099.705.000;12.655.604.025.855.600;5395700;;6.925.093.941.177.360
26/08/2021;12.776.834.869.384.700;13.022.275.818.791.200;12.719.200.808.770.300;1.280.863.208.295.830;5666100;-0.00450061495333734;7.239.482.405.342.100
27/08/2021;1.311.965.789.794.920;13.215.052.579.325.500;12.765.905.337.787.800;12.821.551.603.487.700;6466600;0.026477952851108398;8.483.957.976.287.840
30/08/2021;13.079.908.752.441.400;13.275.665.306.822.200;13.026.248.779.554.400;13.181.263.783.455.700;4893700;-0.003034338432879511;6.400.914.946.182.250
31/08/2021;13.200.144.958.496.000;13.274.671.524.227.700;13.066.991.191.621.400;13.066.991.191.621.400;3680100;0.009150441344599079;48.577.853.461.761.400
1/09/2021;13.422.732.543.945.300;13.442.605.993.082.600;13.193.190.946.478.100;13.227.969.103.406.700;3888100;0.01672191686362938;5.218.892.640.411.370
2/09/2021;13.566.815.185.546.800;13.574.764.867.419.900;13.405.838.297.296.100;1.344.757.298.994.450;3158500;0.010677022958219878;42.850.785.763.549.800
3/09/2021;1.333.429.412.841.790;13.514.151.341.167.800;13.236.913.168.302.800;13.514.151.341.167.800;5092000;-0.017287528577121687;678.982.257.019.043
7/09/2021;13.262.747.192.382.800;13.496.264.361.532.600;13.170.333.466.374.600;1.333.926.155.448.140;4519900;-0.005380080269143497;5.994.629.103.485.100
8/09/2021;13.147.479.248.046.800;13.301.501.115.883.200;1.301.730.642.638.250;13.283.613.952.192.500;4325800;-0.008729094127113536;5.687.336.573.120.110
9/09/2021;13.198.155.212.402.300;1.338.993.613.010.380;13.072.949.644.424.400;13.104.748.365.258.900;5367800;0.003847015104523789;708.450.575.491.333
10/09/2021;1.308.885.498.046.870;13.258.774.734.233.800;130.262.521.678.989;13.244.863.166.579.100;3750000;-0.008315959937685583;4.908.320.617.675.780
13/09/2021;13.025.257.873.535.100;13.242.875.711.073.400;12.839.438.768.535.300;1.311.767.009.701.190;4970200;-0.004870717456111732;6.473.813.668.304.440
14/09/2021;12.817.576.599.121.000;13.145.492.286.470.800;12.795.715.351.131.500;13.062.022.893.918.000;3720800;-0.016072985001774433;47.691.639.010.009.700
15/09/2021;12.960.665.893.554.600;13.037.180.258.903.000;12.791.739.314.520.000;12.840.430.549.968.400;3543300;0.011101669486004169;45.923.527.460.632.300
16/09/2021;1.301.730.499.267.570;13.036.185.295.951.600;1.278.875.658.650.160;12.960.664.082.848.100;2794700;0.0043605552655250086;36.379.462.263.031.000
17/09/2021;1.320.411.834.716.790;13.254.795.857.532.300;12.874.213.410.295.700;13.028.235.256.937.900;6551100;0.01424915138404024;8.650.149.970.413.200
20/09/2021;12.794.720.458.984.300;13.090.840.443.151.800;1.263.274.965.985.320;12.952.717.933.153.100;7072700;-0.031496155232274364;9.049.321.939.025.870
21/09/2021;12.942.782.592.773.400;1.306.699.355.815.510;12.818.571.627.391.700;1.282.055.942.738.700;4340700;0.011505682339795625;5.618.073.640.045.160
22/09/2021;1.297.954.559.326.170;13.100.775.589.126.700;12.864.278.996.022.500;1.300.637.558.021.460;2688500;0.002836398403063971;3.489.550.832.748.410
23/09/2021;1.322.300.262.451.170;13.234.926.391.417.600;12.965.636.364.232.100;13.015.320.748.002.700;3148900;0.01858323361562004;4.163.791.296.432.490
24/09/2021;12.954.702.758.789.000;13.166.358.670.157.300;1.293.383.617.150.430;13.109.717.757.891.000;4252900;-0.02049906643514496;55.095.055.362.854
27/09/2021;1.310.773.162.841.790;13.191.201.011.029.200;12.879.183.209.723.200;1.295.569.756.857.360;4715500;0.011743387129470085;6.180.950.849.380.490
28/09/2021;12.693.364.715.576.100;1.300.637.644.949.870;12.684.421.891.409.700;12.988.490.801.165.900;4959400;-0.03212286315724051;6.295.147.297.042.840
29/09/2021;12.483.695.983.886.700;12.822.543.032.436.700;12.450.904.872.050.100;12.768.884.573.750.100;4540300;-0.01665592194076296;5.667.972.487.564.080
30/09/2021;12.491.645.812.988.200;12.663.554.088.761.700;124.856.839.304.248;1.253.834.924.806.460;4949400;0.0006366142601537799;618.261.517.868.042
1/10/2021;12.537.354.278.564.400;12.578.095.827.601.200;12.172.671.169.160.400;12.536.361.136.970.800;8160600;0.0036524444622540553;10.231.233.332.565.300
4/10/2021;12.244.216.918.945.300;12.464.815.654.843.100;12.202.482.227.862.800;12.441.960.509.846.500;4099300;-0.023658793101570572;5.019.271.841.583.250
5/10/2021;12.281.977.844.238.200;1.245.189.832.262.370;121.945.336.136.323;1.230.682.003.274.120;3987600;0.003079234711622238;4.897.561.485.168.450
6/10/2021;12.151.805.877.685.500;1.228.396.651.180.890;12.099.140.555.637.800;12.178.635.109.590.000;4261000;-0.01065518133404979;51.778.844.844.818.100
7/10/2021;12.312.783.813.476.500;12.444.943.692.374.400;12.154.787.085.745.500;12.211.427.250.451.300;4035100;0.013160266423071438;4.968.331.396.575.920
8/10/2021;12.266.079.711.914.000;12.428.050.514.289.200;12.199.502.067.979.000;1.238.035.317.694.560;2860100;-0.003800351283551698;3.508.221.458.404.540
11/10/2021;12.328.681.182.861.300;1.247.177.243.011.130;1.221.142.602.372.550;1.224.322.399.443.400;3349200;0.005090645638428769;4.129.121.901.763.910
12/10/2021;12.382.341.003.417.900;12.493.634.285.377.800;12.349.549.131.306.100;12.355.511.014.190.600;3440600;0.00434299354309044;42.602.682.456.359.800
13/10/2021;12.422.086.334.228.500;12.515.492.433.812.500;12.320.729.795.413.400;12.421.092.434.559.200;3201400;0.0032046992486635542;3.976.806.719.039.910
14/10/2021;12.629.769.134.521.400;1.272.516.305.231.690;12.503.571.143.993.400;12.556.236.465.035.600;4004100;0.016580612840151863;50.570.858.591.537.400
15/10/2021;12.429.043.579.101.500;1.274.702.327.961.680;12.411.157.173.564.800;12.744.042.338.381.300;4530600;-0.01602069905924372;5.631.102.483.947.750
18/10/2021;12.169.691.467.285.100;12.370.416.017.510.000;12.146.836.320.208.900;12.333.650.063.597.300;6325300;-0.0210874032302922;769.769.494.380.188
19/10/2021;1.228.992.691.040.030;12.424.074.569.966.700;12.210.431.607.926.700;12.242.229.577.291.500;4899500;0.009831421710841304;6.021.449.689.750.670
20/10/2021;12.248.192.596.435.500;1.242.208.791.261.500;12.218.381.667.555.400;12.307.813.696.072.300;2900600;-0.0034015935243090364;3.552.710.744.522.090
21/10/2021;12.305.825.805.664.000;12.412.151.097.427.500;12.245.211.564.802.300;12.245.211.564.802.300;2678000;0.004694410024916114;3.295.500.150.756.830
22/10/2021;1.233.961.181.640.620;123.475.614.986.207;12.119.013.062.757.400;12.288.933.539.943.400;6441700;0.00274176765900605;7.948.807.743.774.410
25/10/2021;12.360.478.210.449.200;12.428.048.987.814.400;12.249.184.942.399.500;12.329.674.141.897.900;4376400;0.0016895808059155543;5.409.439.684.020.990
26/10/2021;1.232.271.957.397.460;12.545.305.373.878.100;12.309.801.150.568.800;12.435.005.994.693.500;4662100;-0.003059463061237299;5.744.975.092.582.700
27/10/2021;121.448.486.328.125;12.354.516.754.003.100;1.212.894.926.906.180;12.293.901.756.419.600;5205900;-0.014539579342865228;6.322.486.749.755.850
28/10/2021;12.537.354.278.564.400;12.543.316.918.742.600;1.214.484.804.207.350;12.185.588.832.986.900;8976800;0.03180743133141179;11.254.532.188.781.700
29/10/2021;12.402.213.287.353.500;12.600.950.784.828.900;1.237.737.110.016.900;12.492.639.212.604.000;5094800;-0.01083758277521419;6.318.679.625.640.860
1/11/2021;12.877.197.265.625;1.288.315.914.863.520;12.417.120.178.994.700;12.439.975.327.406.500;7144500;0.0375831457975763;9.200.113.586.425.780
2/11/2021;13.043.142.700.195.300;13.059.042.065.461.000;12.690.384.062.250.100;12.880.177.996.838.500;6563100;0.012804438681199131;8.560.344.985.565.180
3/11/2021;13.330.316.162.109.300;13.358.139.288.630.800;12.938.804.591.415.800;13.023.267.112.553.400;7042900;0.02177831991930827;9.388.408.369.812.010
4/11/2021;13.236.911.010.742.100;13.393.912.291.435.500;13.107.731.340.728.500;1.327.765.104.329.720;6299700;-0.007031636054359706;8.338.856.829.437.250
5/11/2021;1.304.910.430.908.200;13.248.834.940.497.700;12.898.063.392.273.100;1.314.052.337.244.750;8646700;-0.01428971984890676;1.128.316.902.293.390
8/11/2021;12.968.614.196.777.300;1.316.337.760.161.300;12.920.917.624.341.800;13.079.908.220.789.100;4292500;-0.006187350291457211;5.566.777.643.966.670
9/11/2021;12.781.803.131.103.500;12.957.684.731.493.500;12.720.193.473.448.600;1.292.986.160.206.750;6167500;-0.014509616734530845;7.883.177.081.108.090
10/11/2021;12.539.344.024.658.200;12.934.831.263.573.600;1.250.059.026.903.890;1.271.423.249.581.870;7136200;-0.019151305864609818;8.948.326.682.876.580
11/11/2021;12.551.266.479.492.100;12.681.440.056.578.400;12.509.531.786.742.400;12.580.083.507.759.400;3792900;0.0009503519836112123;4.760.569.863.006.590
12/11/2021;12.574.122.619.628.900;12.635.731.521.980.900;12.445.936.831.941.800;12.609.895.432.849.600;4247400;0.0018193665659238661;53.407.328.414.611.800
15/11/2021;12.310.794.067.382.800;12.633.742.496.764.500;12.278.996.098.507.000;12.613.869.050.513.500;6208500;-0.021164497756795287;7.643.156.496.734.610
16/11/2021;12.372.403.717.041.000;12.400.226.846.735.800;1.219.652.059.870.470;12.304.832.934.300.600;5473400;0.004992041804421805;677.191.145.048.523
17/11/2021;12.215.401.458.740.200;12.396.252.568.085.900;1.220.049.599.340.640;12.354.517.871.650.000;5894400;-0.012770915585697162;7.200.246.235.839.840
18/11/2021;121.448.486.328.125;12.392.276.605.725.800;12.108.081.922.731.600;12.353.522.854.237.800;9026300;-0.005792471171881529;10.962.304.721.435.500
19/11/2021;12.115.038.299.560.500;12.243.224.083.130.000;12.062.372.981.267.100;12.125.968.923.144.800;6297300;-0.0024575834453706004;7.629.203.068.382.260
22/11/2021;11.852.705.383.300.700;12.188.572.271.966.800;11.835.812.876.318.600;12.188.572.271.966.800;6991900;-0.02189137168505341;8.287.293.076.950.070
